asin,publisher,privacy_policy_url
B079R91LN6,LG Electronics,https://us.m.lgaccount.com/customer/terms_detail?country=US&language=en-US&terms_div=update&terms_svcCode=SVC709&terms_type=A_ITG_PRV
B06ZYCJJQS,ECOVACS ROBOTICS,https://www.ecovacs.com/global/privacy-policy
B06XSCT6XT,Appestry,http://www.appestry.biz/gp_pp
B0756M3V84,"SharkNinja Operating, LLC",http://www.sharkclean.com/privacy-policy/
B01DOP9H2O,Alarm.com,http://www.alarm.com/privacy_policy.aspx
B06WVN7SHC,Dyson Limited,http://privacy.dyson.com/en/globalprivacypolicy.aspx
B07CJ821ZR,SimpliSafe,https://simplisafe.com/privacy-policy
B01N1ZVI7M,Tuya Inc.,https://px1.tuyaus.com/alexa/privacy.html?from=smart_life
B07122VQJJ,Bose Corporation,https://www.bose.com/en_us/landing_pages/soundtouch_privacy_policy.html
B01EIQX6Y8,TP-LINK,https://www.kasasmart.com/1/legal/us/privacy-policy/
B01JTL2PYE,Ring,https://ring.com/privacy
B073PKWX11,"Tile, Inc.",https://www.thetileapp.com/en-us/privacy-policy
B072ML3N6K,"Sonos, Inc.",http://www.sonos.com/legal/privacy
B0722KZPGK,Anker,https://www.eufylife.com/pages/privacy-policy-eufyhome-us
B06ZZF8FRH,HP Inc.,http://www8.hp.com/us/en/privacy/privacy.html
B01NARHJWE,"ADT, LLC",http://www.adt.com/about-adt/legal/privacy-policy
B01LWAGUG7,Philips Hue,https://www.meethue.com/privacy
B07B8PPVHH,"Resideo Technologies, Inc",https://www.resideo.com/privacy
B018YICXQS,AB Mobile,http://anymote.io/terms.html
B01M4LDPX3,Logitech,https://files.myharmony.com/Assets/legal/en/privacypolicy.html
B077ZFYWBN,Yamaha Corporation,https://www.idp.yamaha.com/termsprivacy#hoyi
B01JH04N74,GE Appliances,https://secure.geappliances.com/privacy/privacy_policy_connected.htm
B01MXI58Y7,Neato Robotics,https://www.neatorobotics.com/us/privacy-policy/
B074PGCM1D,Ambient Weather,https://ambientweather.net/privacy-policy/
B01AIZVCGW,Rachio,http://rachio.com/privacy-policy
B079GDR9P9,VIZIO,https://www.vizio.com/privacy
B01JTQCD3W,Belkin International,http://www.wemo.com/privacy-policy/
B07KCPWH27,Roku,https://docs.roku.com/published/userprivacypolicy/en/us
B01NAWBABM,Orbit Irrigation,http://help.orbitbhyve.com/b-hyve-privacy-policy/
B01M0VSEAZ,Arlo,https://www.arlo.com/en-us/about/privacy-policy/
